campaign_id,campaign_name,summary_date,number_of_impressions,number_of_clicks,number_of_installs,amount_of_spend,CTR,CTI
campaign_10,Super campaign 10,2022-06-01,0,590558,17316,468.91,,0.02707957957957958
campaign_10,Super campaign 10,2022-06-02,0,28844,13206,947.3100000000001,,0.07173330304407088
campaign_10,Super campaign 10,2022-06-03,0,36796,8598,1006.1350000000001,,0.11701965573389161
campaign_10,Super campaign 10,2022-06-04,0,28612,13520,652.795,,0.048283653846153844
campaign_10,Super campaign 10,2022-06-05,0,249414,29572,1836.1200000000001,,0.06208981468957122
campaign_10,Super campaign 10,2022-06-06,0,105696,27534,1825.0700000000002,,0.06628423040604345
campaign_10,Super campaign 10,2022-06-07,0,141340,27388,2081.82,,0.07601212209726889
campaign_10,Super campaign 10,2022-06-08,0,114034,27708,2097.7450000000003,,0.07570900101053848
campaign_10,Super campaign 10,2022-06-09,0,131506,23420,1754.6100000000001,,0.07491929974380872
campaign_10,Super campaign 10,2022-06-10,0,108768,24546,1754.6100000000001,,0.07148252261060865
campaign_10,Super campaign 10,2022-06-11,0,102384,516,2004.405,,3.8845058139534885
campaign_10,Super campaign 10,2022-06-12,0,86902,152,1281.4750000000001,,8.430756578947369
campaign_10,Super campaign 10,2022-06-13,0,81220,82,1506.83,,18.375975609756097
campaign_10,Super campaign 10,2022-06-14,0,55950,66,1321.125,,20.017045454545453
campaign_10,Super campaign 10,2022-06-15,0,61212,34,1256.5149999999999,,36.95632352941176
campaign_10,Super campaign 10,2022-06-16,0,88756,18,1331.005,,73.94472222222223
campaign_10,Super campaign 10,2022-06-17,0,74070,6,1692.73,,282.12166666666667
campaign_10,Super campaign 10,2022-06-18,0,71816,0,1730.3,,
campaign_10,Super campaign 10,2022-06-19,0,50402,0,1145.755,,
campaign_10,Super campaign 10,2022-06-20,0,49592,0,1364.6100000000001,,
campaign_10,Super campaign 10,2022-06-21,0,48772,0,1191.84,,
campaign_10,Super campaign 10,2022-06-22,0,41336,0,1138.605,,
campaign_10,Super campaign 10,2022-06-23,0,474214,0,1204.19,,
campaign_10,Super campaign 10,2022-06-24,0,1215918,0,4803.045,,
campaign_10,Super campaign 10,2022-06-25,0,169358,0,4279.925,,
campaign_10,Super campaign 10,2022-06-26,0,274372,0,3228.355,,
campaign_10,Super campaign 10,2022-06-27,0,41214,0,3284.125,,
campaign_10,Super campaign 10,2022-06-28,0,41214,0,3392.4150000000004,,
campaign_10,Super campaign 10,2022-06-29,0,41214,0,854.0350000000001,,
campaign_10,Super campaign 10,2022-06-30,0,41214,0,803.4,,
campaign_10,Super campaign 10,2022-07-01,0,41214,0,952.77,,
campaign_10,Super campaign 10,2022-07-02,0,41214,0,883.6750000000001,,
campaign_10,Super campaign 10,2022-07-03,0,41214,0,725.205,,
campaign_10,Super campaign 10,2022-07-04,0,41214,0,722.15,,
campaign_10,Super campaign 10,2022-07-05,0,41214,0,616.005,,
campaign_10,Super campaign 10,2022-07-06,0,41214,0,20.085,,
